the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 491.64         | 136.50001            | NULL
67108864          | 491.64         | 136.50001            | NULL
67108864          | 491.34         | 136.58334            | NULL
67108864          | 491.06         | 136.66123            | NULL
67108864          | 491.48         | 136.54444            | NULL
67108864          | 491.12         | 136.64342            | NULL
67108864          | 491.46         | 136.55111            | NULL
67108864          | 491.42         | 136.56001            | NULL
67108864          | 490.97         | 136.68573            | NULL
67108864          | 491.09         | 136.65233            | NULL
67108864          | 491.64         | 136.49890            | NULL
67108864          | 490.29         | 136.87641            | NULL
67108864          | 491.38         | 136.57113            | NULL
67108864          | 492.03         | 136.39126            | NULL
67108864          | 491.25         | 136.60893            | NULL
67108864          | 490.50         | 136.81726            | NULL
67108864          | 491.16         | 136.63340            | NULL
67108864          | 490.02         | 136.95240            | NULL
67108864          | 490.91         | 136.70354            | NULL
67108864          | 490.58         | 136.79607            | NULL
67108864          | 490.52         | 136.81056            | NULL
67108864          | 490.38         | 136.85074            | NULL
67108864          | 491.40         | 136.56667            | NULL
67108864          | 491.60         | 136.51111            | NULL
67108864          | 491.69         | 136.48556            | NULL
67108864          | 491.04         | 136.66569            | NULL
67108864          | 491.31         | 136.59225            | NULL
67108864          | 491.35         | 136.58002            | NULL
67108864          | 491.41         | 136.56334            | NULL
67108864          | 490.24         | 136.88870            | NULL
67108864          | 489.94         | 136.97363            | NULL
67108864          | 491.44         | 136.55445            | NULL
67108864          | 490.46         | 136.82953            | NULL
67108864          | 491.52         | 136.53333            | NULL
67108864          | 491.73         | 136.47447            | NULL
67108864          | 491.43         | 136.55779            | NULL
67108864          | 491.24         | 136.61116            | NULL
67108864          | 491.34         | 136.58445            | NULL
67108864          | 491.17         | 136.63008            | NULL
67108864          | 490.94         | 136.69464            | NULL
67108864          | 491.34         | 136.58223            | NULL
67108864          | 489.69         | 137.04300            | NULL
67108864          | 491.36         | 136.57890            | NULL
67108864          | 491.02         | 136.67347            | NULL
67108864          | 491.35         | 136.58113            | NULL
67108864          | 491.02         | 136.67124            | NULL
67108864          | 490.19         | 136.90322            | NULL
67108864          | 637.26         | 105.30779            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.65         | 136.49779            | NULL
67108864          | 491.53         | 136.53000            | NULL
67108864          | 491.20         | 136.62117            | NULL
67108864          | 491.31         | 136.59225            | NULL
67108864          | 491.35         | 136.58002            | NULL
67108864          | 491.56         | 136.52112            | NULL
67108864          | 491.42         | 136.56001            | NULL
67108864          | 491.10         | 136.65121            | NULL
67108864          | 491.35         | 136.58002            | NULL
67108864          | 491.45         | 136.55334            | NULL
67108864          | 492.00         | 136.39902            | NULL
67108864          | 492.04         | 136.38904            | NULL
67108864          | 491.20         | 136.62339            | NULL
67108864          | 490.82         | 136.72695            | NULL
67108864          | 490.96         | 136.68908            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.09         | 136.65233            | NULL
67108864          | 491.33         | 136.58669            | NULL
67108864          | 491.19         | 136.62451            | NULL
67108864          | 491.54         | 136.52889            | NULL
67108864          | 491.11         | 136.64676            | NULL
67108864          | 491.36         | 136.57779            | NULL
67108864          | 491.36         | 136.57779            | NULL
67108864          | 491.31         | 136.59115            | NULL
67108864          | 491.72         | 136.47891            | NULL
67108864          | 491.50         | 136.54000            | NULL
67108864          | 491.07         | 136.65901            | NULL
67108864          | 491.56         | 136.52112            | NULL
67108864          | 491.01         | 136.67570            | NULL
67108864          | 491.28         | 136.60004            | NULL
67108864          | 491.49         | 136.54223            | NULL
67108864          | 491.71         | 136.48002            | NULL
67108864          | 491.08         | 136.65456            | NULL
67108864          | 491.34         | 136.58223            | NULL
67108864          | 491.54         | 136.52778            | NULL
67108864          | 491.68         | 136.49002            | NULL
67108864          | 491.41         | 136.56334            | NULL
67108864          | 491.17         | 136.63008            | NULL
67108864          | 491.11         | 136.64676            | NULL
67108864          | 491.30         | 136.59559            | NULL
67108864          | 491.22         | 136.61783            | NULL
67108864          | 491.75         | 136.47003            | NULL
67108864          | 491.06         | 136.66013            | NULL
67108864          | 491.30         | 136.59559            | NULL
67108864          | 491.24         | 136.61116            | NULL
67108864          | 491.37         | 136.57556            | NULL
67108864          | 491.49         | 136.54223            | NULL
67108864          | 491.38         | 136.57113            | NULL
67108864          | 491.08         | 136.65456            | NULL
67108864          | 491.18         | 136.62785            | NULL
67108864          | 491.37         | 136.57556            | NULL
67108864          | 491.41         | 136.56445            | NULL
67108864          | 490.99         | 136.68015            | NULL
67108864          | 491.36         | 136.57779            | NULL
67108864          | 490.71         | 136.75926            | NULL
67108864          | 491.34         | 136.58334            | NULL
67108864          | 491.06         | 136.66123            | NULL
67108864          | 491.68         | 136.48780            | NULL
67108864          | 491.10         | 136.64899            | NULL
67108864          | 491.58         | 136.51666            | NULL
67108864          | 491.08         | 136.65678            | NULL
67108864          | 491.27         | 136.60225            | NULL
67108864          | 692.41         | 96.92042             | NULL
67108864          | 491.81         | 136.45227            | NULL
67108864          | 491.03         | 136.66903            | NULL
67108864          | 491.26         | 136.60448            | NULL
67108864          | 491.79         | 136.45893            | NULL
67108864          | 490.39         | 136.84738            | NULL
67108864          | 491.34         | 136.58223            | NULL
67108864          | 491.28         | 136.59892            | NULL
67108864          | 491.46         | 136.55000            | NULL
67108864          | 491.41         | 136.56445            | NULL
67108864          | 491.21         | 136.62007            | NULL
67108864          | 491.82         | 136.45005            | NULL
67108864          | 491.24         | 136.61116            | NULL
67108864          | 490.99         | 136.68015            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.32         | 136.59003            | NULL
67108864          | 491.67         | 136.49113            | NULL
67108864          | 491.51         | 136.53666            | NULL
67108864          | 491.46         | 136.54889            | NULL
67108864          | 491.76         | 136.46781            | NULL
67108864          | 491.90         | 136.42675            | NULL
67108864          | 491.56         | 136.52223            | NULL
67108864          | 491.23         | 136.61337            | NULL
67108864          | 491.25         | 136.60782            | NULL
67108864          | 490.88         | 136.71022            | NULL
67108864          | 491.27         | 136.60225            | NULL
67108864          | 491.36         | 136.57779            | NULL
67108864          | 491.12         | 136.64564            | NULL
67108864          | 491.59         | 136.51444            | NULL
67108864          | 491.02         | 136.67236            | NULL
67108864          | 491.00         | 136.67682            | NULL
67108864          | 491.49         | 136.54223            | NULL
67108864          | 491.15         | 136.63675            | NULL
67108864          | 491.25         | 136.60782            | NULL
67108864          | 491.29         | 136.59781            | NULL
67108864          | 491.61         | 136.50889            | NULL
67108864          | 491.65         | 136.49779            | NULL
67108864          | 491.72         | 136.47891            | NULL
67108864          | 491.32         | 136.58892            | NULL
67108864          | 491.25         | 136.60893            | NULL
67108864          | 491.47         | 136.54666            | NULL
67108864          | 491.08         | 136.65678            | NULL
67108864          | 491.45         | 136.55222            | NULL
67108864          | 491.23         | 136.61449            | NULL
67108864          | 491.24         | 136.61116            | NULL
67108864          | 491.44         | 136.55445            | NULL
67108864          | 491.18         | 136.62896            | NULL
67108864          | 491.16         | 136.63452            | NULL
67108864          | 491.42         | 136.56001            | NULL
67108864          | 491.96         | 136.41233            | NULL
67108864          | 491.20         | 136.62228            | NULL
67108864          | 491.58         | 136.51666            | NULL
67108864          | 491.91         | 136.42454            | NULL
67108864          | 491.73         | 136.47447            | NULL
67108864          | 491.32         | 136.59003            | NULL
67108864          | 491.57         | 136.51888            | NULL
67108864          | 491.56         | 136.52112            | NULL
67108864          | 491.77         | 136.46338            | NULL
67108864          | 491.48         | 136.54444            | NULL
67108864          | 491.28         | 136.60004            | NULL
67108864          | 491.29         | 136.59781            | NULL
67108864          | 491.95         | 136.41455            | NULL
67108864          | 491.47         | 136.54666            | NULL
67108864          | 490.76         | 136.74365            | NULL
67108864          | 491.56         | 136.52223            | NULL
67108864          | 491.66         | 136.49556            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.44         | 136.55445            | NULL
67108864          | 490.98         | 136.68238            | NULL
67108864          | 491.44         | 136.55556            | NULL
67108864          | 492.01         | 136.39681            | NULL
67108864          | 491.88         | 136.43230            | NULL
67108864          | 490.85         | 136.71914            | NULL
67108864          | 491.06         | 136.66013            | NULL
67108864          | 490.83         | 136.72583            | NULL
67108864          | 491.01         | 136.67459            | NULL
67108864          | 491.15         | 136.63675            | NULL
67108864          | 490.92         | 136.69910            | NULL
67108864          | 491.53         | 136.53112            | NULL
67108864          | 491.07         | 136.65790            | NULL
67108864          | 491.49         | 136.54223            | NULL
67108864          | 491.23         | 136.61337            | NULL
67108864          | 491.09         | 136.65233            | NULL
67108864          | 491.34         | 136.58445            | NULL
67108864          | 491.03         | 136.67013            | NULL
67108864          | 491.38         | 136.57113            | NULL
67108864          | 491.24         | 136.61004            | NULL
67108864          | 491.75         | 136.46892            | NULL
67108864          | 490.98         | 136.68238            | NULL
67108864          | 490.14         | 136.91663            | NULL
67108864          | 491.01         | 136.67570            | NULL
67108864          | 490.59         | 136.79272            | NULL
67108864          | 490.04         | 136.94679            | NULL
67108864          | 490.59         | 136.79272            | NULL
67108864          | 490.22         | 136.89540            | NULL
67108864          | 490.24         | 136.88870            | NULL
67108864          | 491.39         | 136.57001            | NULL
67108864          | 491.12         | 136.64453            | NULL
67108864          | 491.60         | 136.51223            | NULL
67108864          | 491.45         | 136.55222            | NULL
67108864          | 491.36         | 136.57668            | NULL
67108864          | 491.52         | 136.53444            | NULL
67108864          | 491.26         | 136.60559            | NULL
67108864          | 491.56         | 136.52112            | NULL
67108864          | 490.76         | 136.74365            | NULL
67108864          | 490.62         | 136.78268            | NULL
67108864          | 490.79         | 136.73586            | NULL
67108864          | 491.03         | 136.67013            | NULL
67108864          | 491.20         | 136.62339            | NULL
67108864          | 491.52         | 136.53223            | NULL
67108864          | 490.24         | 136.89094            | NULL
67108864          | 491.17         | 136.63008            | NULL
67108864          | 491.64         | 136.50112            | NULL
67108864          | 491.91         | 136.42565            | NULL
67108864          | 491.54         | 136.52889            | NULL
67108864          | 491.52         | 136.53223            | NULL
67108864          | 491.83         | 136.44782            | NULL
67108864          | 491.42         | 136.56112            | NULL
67108864          | 491.27         | 136.60336            | NULL
67108864          | 491.94         | 136.41566            | NULL
67108864          | 491.15         | 136.63675            | NULL
67108864          | 491.76         | 136.46559            | NULL
67108864          | 490.02         | 136.95016            | NULL
67108864          | 490.83         | 136.72583            | NULL
67108864          | 491.43         | 136.55779            | NULL
67108864          | 491.23         | 136.61337            | NULL
67108864          | 491.71         | 136.48113            | NULL
67108864          | 491.11         | 136.64787            | NULL
67108864          | 491.14         | 136.63897            | NULL
67108864          | 490.11         | 136.92556            | NULL
67108864          | 491.70         | 136.48335            | NULL
67108864          | 491.24         | 136.61226            | NULL
67108864          | 490.84         | 136.72137            | NULL
67108864          | 490.55         | 136.80387            | NULL
67108864          | 491.35         | 136.58002            | NULL
67108864          | 491.30         | 136.59447            | NULL
67108864          | 491.50         | 136.53778            | NULL
67108864          | 491.70         | 136.48446            | NULL
67108864          | 491.78         | 136.46004            | NULL
67108864          | 491.28         | 136.59892            | NULL
67108864          | 491.00         | 136.67905            | NULL
67108864          | 491.84         | 136.44339            | NULL
67108864          | 490.58         | 136.79383            | NULL
67108864          | 492.24         | 136.33363            | NULL
67108864          | 490.98         | 136.68349            | NULL
67108864          | 491.22         | 136.61671            | NULL
67108864          | 490.84         | 136.72249            | NULL
67108864          | 491.28         | 136.60004            | NULL
67108864          | 490.30         | 136.87418            | NULL
67108864          | 491.07         | 136.65901            | NULL
67108864          | 490.33         | 136.86414            | NULL
67108864          | 490.26         | 136.88424            | NULL
67108864          | 491.17         | 136.63118            | NULL
67108864          | 491.82         | 136.45116            | NULL
67108864          | 490.84         | 136.72249            | NULL
67108864          | 490.12         | 136.92446            | NULL
67108864          | 491.39         | 136.57001            | NULL
67108864          | 491.57         | 136.52001            | NULL
67108864          | 490.48         | 136.82396            | NULL
67108864          | 490.89         | 136.70800            | NULL
67108864          | 490.30         | 136.87418            | NULL
67108864          | 491.16         | 136.63229            | NULL
67108864          | 491.21         | 136.62007            | NULL
67108864          | 491.48         | 136.54444            | NULL
67108864          | 491.16         | 136.63452            | NULL
67108864          | 490.45         | 136.83065            | NULL
67108864          | 491.06         | 136.66234            | NULL
67108864          | 490.48         | 136.82396            | NULL
67108864          | 490.93         | 136.69687            | NULL
67108864          | 491.41         | 136.56445            | NULL
67108864          | 490.87         | 136.71356            | NULL
67108864          | 490.49         | 136.81949            | NULL
67108864          | 491.44         | 136.55556            | NULL
67108864          | 491.50         | 136.53889            | NULL
67108864          | 490.34         | 136.86302            | NULL
67108864          | 491.85         | 136.44117            | NULL
67108864          | 491.48         | 136.54332            | NULL
67108864          | 490.15         | 136.91441            | NULL
67108864          | 491.35         | 136.58002            | NULL
67108864          | 491.71         | 136.48113            | NULL
67108864          | 491.42         | 136.56224            | NULL
67108864          | 491.44         | 136.55445            | NULL
67108864          | 490.30         | 136.87195            | NULL
67108864          | 491.38         | 136.57224            | NULL
67108864          | 490.13         | 136.92110            | NULL
67108864          | 490.58         | 136.79383            | NULL
67108864          | 491.18         | 136.62785            | NULL
67108864          | 491.28         | 136.60115            | NULL
67108864          | 491.37         | 136.57556            | NULL
67108864          | 491.72         | 136.47779            | NULL
67108864          | 490.52         | 136.81056            | NULL
67108864          | 491.88         | 136.43341            | NULL
67108864          | 491.42         | 136.56112            | NULL
67108864          | 491.20         | 136.62339            | NULL
67108864          | 491.30         | 136.59336            | NULL
67108864          | 491.98         | 136.40568            | NULL
67108864          | 491.28         | 136.59892            | NULL
67108864          | 491.67         | 136.49113            | NULL
67108864          | 491.30         | 136.59559            | NULL
67108864          | 491.87         | 136.43673            | NULL
67108864          | 491.22         | 136.61560            | NULL
67108864          | 490.61         | 136.78715            | NULL
67108864          | 491.57         | 136.52001            | NULL
67108864          | 490.85         | 136.72026            | NULL
67108864          | 490.69         | 136.76484            | NULL
67108864          | 490.38         | 136.85186            | NULL
67108864          | 490.46         | 136.82729            | NULL
67108864          | 491.31         | 136.59225            | NULL
67108864          | 490.83         | 136.72583            | NULL
67108864          | 491.01         | 136.67459            | NULL
67108864          | 491.27         | 136.60225            | NULL
67108864          | 491.46         | 136.55000            | NULL
67108864          | 491.61         | 136.50889            | NULL
67108864          | 491.02         | 136.67124            | NULL
67108864          | 491.27         | 136.60225            | NULL
67108864          | 492.01         | 136.39681            | NULL
67108864          | 491.38         | 136.57113            | NULL
67108864          | 491.38         | 136.57224            | NULL
67108864          | 491.66         | 136.49445            | NULL
67108864          | 490.31         | 136.87083            | NULL
67108864          | 491.40         | 136.56667            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.78         | 136.46004            | NULL
67108864          | 490.44         | 136.83288            | NULL
67108864          | 490.52         | 136.81279            | NULL
67108864          | 490.20         | 136.89987            | NULL
67108864          | 491.22         | 136.61783            | NULL
67108864          | 491.68         | 136.48891            | NULL
67108864          | 491.76         | 136.46559            | NULL
67108864          | 491.23         | 136.61337            | NULL
67108864          | 491.09         | 136.65233            | NULL
67108864          | 491.86         | 136.43895            | NULL
67108864          | 491.26         | 136.60670            | NULL
67108864          | 491.16         | 136.63452            | NULL
67108864          | 491.64         | 136.49890            | NULL
67108864          | 491.45         | 136.55222            | NULL
67108864          | 490.88         | 136.71245            | NULL
67108864          | 491.21         | 136.62007            | NULL
67108864          | 491.11         | 136.64676            | NULL
67108864          | 491.79         | 136.45782            | NULL
67108864          | 491.22         | 136.61560            | NULL
67108864          | 491.20         | 136.62228            | NULL
67108864          | 490.75         | 136.74812            | NULL
67108864          | 490.51         | 136.81502            | NULL
67108864          | 491.26         | 136.60670            | NULL
67108864          | 490.60         | 136.78937            | NULL
67108864          | 490.94         | 136.69352            | NULL
67108864          | 491.20         | 136.62339            | NULL
67108864          | 489.76         | 137.02398            | NULL
67108864          | 491.32         | 136.58892            | NULL
67108864          | 491.44         | 136.55667            | NULL
67108864          | 491.42         | 136.56112            | NULL
67108864          | 491.28         | 136.59892            | NULL
67108864          | 491.08         | 136.65456            | NULL
67108864          | 491.17         | 136.63008            | NULL
67108864          | 491.02         | 136.67124            | NULL
67108864          | 490.97         | 136.68685            | NULL
67108864          | 491.17         | 136.63118            | NULL
67108864          | 490.91         | 136.70243            | NULL
67108864          | 491.32         | 136.58892            | NULL
67108864          | 491.54         | 136.52667            | NULL
67108864          | 491.32         | 136.59003            | NULL
67108864          | 491.66         | 136.49556            | NULL
67108864          | 490.91         | 136.70354            | NULL
67108864          | 491.69         | 136.48667            | NULL
67108864          | 491.47         | 136.54777            | NULL
67108864          | 491.34         | 136.58334            | NULL
67108864          | 491.56         | 136.52112            | NULL
67108864          | 491.62         | 136.50444            | NULL
67108864          | 491.30         | 136.59559            | NULL
67108864          | 491.39         | 136.57001            | NULL
67108864          | 491.57         | 136.52001            | NULL
67108864          | 491.18         | 136.62785            | NULL
67108864          | 491.03         | 136.67013            | NULL
67108864          | 491.34         | 136.58445            | NULL
