the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1022.18        | 65.65295             | NULL
67108864          | 1022.67        | 65.62110             | NULL
67108864          | 1021.95        | 65.66734             | NULL
67108864          | 1021.45        | 65.69973             | NULL
67108864          | 1022.39        | 65.63933             | NULL
67108864          | 1022.21        | 65.65063             | NULL
67108864          | 1022.14        | 65.65551             | NULL
67108864          | 1022.05        | 65.66091             | NULL
67108864          | 1021.83        | 65.67530             | NULL
67108864          | 1021.74        | 65.68071             | NULL
67108864          | 1021.75        | 65.68045             | NULL
67108864          | 1022.25        | 65.64832             | NULL
67108864          | 1022.17        | 65.65346             | NULL
67108864          | 1022.17        | 65.65346             | NULL
67108864          | 1021.95        | 65.66734             | NULL
67108864          | 1022.59        | 65.62624             | NULL
67108864          | 1022.10        | 65.65783             | NULL
67108864          | 1022.44        | 65.63574             | NULL
67108864          | 1021.96        | 65.66708             | NULL
67108864          | 1021.80        | 65.67710             | NULL
67108864          | 1022.47        | 65.63394             | NULL
67108864          | 1023.33        | 65.57903             | NULL
67108864          | 1021.44        | 65.69999             | NULL
67108864          | 1021.69        | 65.68430             | NULL
67108864          | 1022.44        | 65.63574             | NULL
67108864          | 1022.48        | 65.63317             | NULL
67108864          | 1022.03        | 65.66220             | NULL
67108864          | 1022.18        | 65.65243             | NULL
67108864          | 1022.96        | 65.60289             | NULL
67108864          | 1021.42        | 65.70128             | NULL
67108864          | 1021.97        | 65.66605             | NULL
67108864          | 1022.41        | 65.63805             | NULL
67108864          | 1021.35        | 65.70617             | NULL
67108864          | 1022.20        | 65.65166             | NULL
67108864          | 1021.96        | 65.66682             | NULL
67108864          | 1022.67        | 65.62110             | NULL
67108864          | 1022.50        | 65.63240             | NULL
67108864          | 1022.30        | 65.64472             | NULL
67108864          | 1021.43        | 65.70076             | NULL
67108864          | 1022.67        | 65.62110             | NULL
67108864          | 1022.01        | 65.66348             | NULL
67108864          | 1022.36        | 65.64138             | NULL
67108864          | 1021.64        | 65.68764             | NULL
67108864          | 1022.53        | 65.63034             | NULL
67108864          | 1022.39        | 65.63907             | NULL
67108864          | 1021.80        | 65.67710             | NULL
67108864          | 1022.30        | 65.64472             | NULL
67108864          | 1021.96        | 65.66708             | NULL
67108864          | 1021.89        | 65.67119             | NULL
67108864          | 1022.04        | 65.66194             | NULL
67108864          | 1022.20        | 65.65166             | NULL
67108864          | 1022.68        | 65.62085             | NULL
67108864          | 1022.24        | 65.64909             | NULL
67108864          | 1021.94        | 65.66785             | NULL
67108864          | 1022.26        | 65.64755             | NULL
67108864          | 1022.57        | 65.62752             | NULL
67108864          | 1022.82        | 65.61186             | NULL
67108864          | 1023.13        | 65.59185             | NULL
67108864          | 1022.00        | 65.66425             | NULL
67108864          | 1022.35        | 65.64190             | NULL
67108864          | 1022.16        | 65.65372             | NULL
67108864          | 1021.87        | 65.67273             | NULL
67108864          | 1022.19        | 65.65192             | NULL
67108864          | 1022.16        | 65.65372             | NULL
67108864          | 1022.28        | 65.64652             | NULL
67108864          | 1022.50        | 65.63240             | NULL
67108864          | 1022.01        | 65.66374             | NULL
67108864          | 1021.80        | 65.67685             | NULL
67108864          | 1022.38        | 65.64010             | NULL
67108864          | 1022.54        | 65.62931             | NULL
67108864          | 1021.69        | 65.68430             | NULL
67108864          | 1022.22        | 65.64986             | NULL
67108864          | 1022.49        | 65.63265             | NULL
67108864          | 1021.66        | 65.68610             | NULL
67108864          | 1022.23        | 65.64961             | NULL
67108864          | 1022.04        | 65.66143             | NULL
67108864          | 1022.21        | 65.65089             | NULL
67108864          | 1022.60        | 65.62598             | NULL
67108864          | 1021.73        | 65.68173             | NULL
67108864          | 1022.63        | 65.62392             | NULL
67108864          | 1021.78        | 65.67813             | NULL
67108864          | 1022.26        | 65.64729             | NULL
67108864          | 1021.97        | 65.66605             | NULL
67108864          | 1022.62        | 65.62418             | NULL
67108864          | 1022.35        | 65.64164             | NULL
67108864          | 1022.20        | 65.65166             | NULL
67108864          | 1021.97        | 65.66631             | NULL
67108864          | 1022.67        | 65.62136             | NULL
67108864          | 1021.66        | 65.68610             | NULL
67108864          | 1022.22        | 65.65037             | NULL
67108864          | 1021.54        | 65.69357             | NULL
67108864          | 1022.00        | 65.66451             | NULL
67108864          | 1021.82        | 65.67607             | NULL
67108864          | 1022.77        | 65.61468             | NULL
67108864          | 1022.24        | 65.64909             | NULL
67108864          | 1022.70        | 65.61905             | NULL
67108864          | 1022.50        | 65.63188             | NULL
67108864          | 1022.14        | 65.65551             | NULL
67108864          | 1021.98        | 65.66554             | NULL
67108864          | 1021.95        | 65.66759             | NULL
67108864          | 1022.04        | 65.66194             | NULL
67108864          | 1022.10        | 65.65757             | NULL
67108864          | 1022.58        | 65.62701             | NULL
67108864          | 1021.96        | 65.66657             | NULL
67108864          | 1022.00        | 65.66425             | NULL
67108864          | 1021.91        | 65.67016             | NULL
67108864          | 1022.53        | 65.63008             | NULL
67108864          | 1021.92        | 65.66939             | NULL
67108864          | 1022.16        | 65.65372             | NULL
67108864          | 1022.16        | 65.65423             | NULL
67108864          | 1021.74        | 65.68071             | NULL
67108864          | 1022.69        | 65.61982             | NULL
67108864          | 1022.40        | 65.63882             | NULL
67108864          | 1021.79        | 65.67762             | NULL
67108864          | 1022.22        | 65.65037             | NULL
67108864          | 1022.58        | 65.62675             | NULL
67108864          | 1022.45        | 65.63523             | NULL
67108864          | 1022.59        | 65.62649             | NULL
67108864          | 1021.70        | 65.68379             | NULL
67108864          | 1021.96        | 65.66657             | NULL
67108864          | 1021.86        | 65.67299             | NULL
67108864          | 1021.99        | 65.66477             | NULL
67108864          | 1021.95        | 65.66734             | NULL
67108864          | 1021.84        | 65.67479             | NULL
67108864          | 1021.90        | 65.67093             | NULL
67108864          | 1022.00        | 65.66451             | NULL
67108864          | 1022.07        | 65.65988             | NULL
67108864          | 1022.84        | 65.61032             | NULL
67108864          | 1021.67        | 65.68559             | NULL
67108864          | 1022.63        | 65.62367             | NULL
67108864          | 1021.95        | 65.66759             | NULL
67108864          | 1022.45        | 65.63548             | NULL
67108864          | 1021.64        | 65.68713             | NULL
67108864          | 1022.20        | 65.65166             | NULL
67108864          | 1022.40        | 65.63882             | NULL
67108864          | 1022.88        | 65.60750             | NULL
67108864          | 1022.17        | 65.65346             | NULL
67108864          | 1022.02        | 65.66271             | NULL
67108864          | 1022.06        | 65.66065             | NULL
67108864          | 1021.51        | 65.69562             | NULL
67108864          | 1021.88        | 65.67196             | NULL
67108864          | 1022.00        | 65.66451             | NULL
67108864          | 1022.18        | 65.65243             | NULL
67108864          | 1021.85        | 65.67376             | NULL
67108864          | 1022.17        | 65.65346             | NULL
67108864          | 1021.75        | 65.68019             | NULL
