the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1010.09        | 66.43837             | NULL
67108864          | 1010.42        | 66.41680             | NULL
67108864          | 1010.27        | 66.42679             | NULL
67108864          | 1010.55        | 66.40812             | NULL
67108864          | 1010.40        | 66.41812             | NULL
67108864          | 1010.65        | 66.40182             | NULL
67108864          | 1010.37        | 66.42022             | NULL
67108864          | 1010.80        | 66.39183             | NULL
67108864          | 1010.15        | 66.43469             | NULL
67108864          | 1010.44        | 66.41549             | NULL
67108864          | 1010.29        | 66.42522             | NULL
67108864          | 1010.62        | 66.40392             | NULL
67108864          | 1010.13        | 66.43574             | NULL
67108864          | 1010.95        | 66.38185             | NULL
67108864          | 1010.23        | 66.42917             | NULL
67108864          | 1010.29        | 66.42522             | NULL
67108864          | 1010.56        | 66.40760             | NULL
67108864          | 1010.43        | 66.41602             | NULL
67108864          | 1010.58        | 66.40655             | NULL
67108864          | 1010.60        | 66.40471             | NULL
67108864          | 1010.64        | 66.40260             | NULL
67108864          | 1010.74        | 66.39551             | NULL
67108864          | 1009.95        | 66.44758             | NULL
67108864          | 1010.47        | 66.41365             | NULL
67108864          | 1009.82        | 66.45626             | NULL
67108864          | 1010.89        | 66.38579             | NULL
67108864          | 1010.62        | 66.40392             | NULL
67108864          | 1010.67        | 66.40051             | NULL
67108864          | 1009.88        | 66.45205             | NULL
67108864          | 1010.64        | 66.40208             | NULL
67108864          | 1010.62        | 66.40392             | NULL
67108864          | 1010.87        | 66.38711             | NULL
67108864          | 1010.44        | 66.41549             | NULL
67108864          | 1010.38        | 66.41943             | NULL
67108864          | 1010.41        | 66.41733             | NULL
67108864          | 1010.72        | 66.39683             | NULL
67108864          | 1010.61        | 66.40418             | NULL
67108864          | 1010.26        | 66.42759             | NULL
67108864          | 1010.68        | 66.39998             | NULL
67108864          | 1010.95        | 66.38185             | NULL
67108864          | 1011.02        | 66.37712             | NULL
67108864          | 1010.61        | 66.40445             | NULL
67108864          | 1010.04        | 66.44205             | NULL
67108864          | 1010.32        | 66.42364             | NULL
67108864          | 1010.06        | 66.44073             | NULL
67108864          | 1009.96        | 66.44732             | NULL
67108864          | 1010.36        | 66.42100             | NULL
67108864          | 1010.50        | 66.41128             | NULL
67108864          | 1009.84        | 66.45494             | NULL
67108864          | 1010.93        | 66.38343             | NULL
67108864          | 1010.12        | 66.43653             | NULL
67108864          | 1010.59        | 66.40576             | NULL
67108864          | 1010.57        | 66.40681             | NULL
67108864          | 1010.76        | 66.39446             | NULL
67108864          | 1010.50        | 66.41128             | NULL
67108864          | 1010.52        | 66.41049             | NULL
67108864          | 1010.24        | 66.42838             | NULL
67108864          | 1011.12        | 66.37056             | NULL
67108864          | 1010.14        | 66.43547             | NULL
67108864          | 1010.72        | 66.39736             | NULL
67108864          | 1010.26        | 66.42759             | NULL
67108864          | 1010.73        | 66.39657             | NULL
67108864          | 1010.84        | 66.38894             | NULL
67108864          | 1010.77        | 66.39367             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1011.34        | 66.35638             | NULL
67108864          | 1010.74        | 66.39551             | NULL
67108864          | 1010.49        | 66.41233             | NULL
67108864          | 1010.95        | 66.38212             | NULL
67108864          | 1010.48        | 66.41260             | NULL
67108864          | 1010.43        | 66.41602             | NULL
67108864          | 1010.27        | 66.42679             | NULL
67108864          | 1009.85        | 66.45415             | NULL
67108864          | 1010.64        | 66.40208             | NULL
67108864          | 1010.05        | 66.44126             | NULL
67108864          | 1010.29        | 66.42548             | NULL
67108864          | 1010.77        | 66.39367             | NULL
67108864          | 1010.48        | 66.41260             | NULL
67108864          | 1010.18        | 66.43258             | NULL
67108864          | 1010.58        | 66.40655             | NULL
67108864          | 1010.46        | 66.41417             | NULL
67108864          | 1010.67        | 66.40051             | NULL
67108864          | 1010.53        | 66.40944             | NULL
67108864          | 1010.39        | 66.41864             | NULL
67108864          | 1009.87        | 66.45311             | NULL
67108864          | 1010.59        | 66.40550             | NULL
67108864          | 1010.88        | 66.38684             | NULL
67108864          | 1010.41        | 66.41733             | NULL
67108864          | 1010.37        | 66.41996             | NULL
67108864          | 1010.84        | 66.38920             | NULL
67108864          | 1010.56        | 66.40733             | NULL
67108864          | 1010.31        | 66.42390             | NULL
67108864          | 1010.16        | 66.43363             | NULL
67108864          | 1010.38        | 66.41917             | NULL
67108864          | 1010.28        | 66.42626             | NULL
67108864          | 1010.72        | 66.39736             | NULL
67108864          | 1010.02        | 66.44337             | NULL
67108864          | 1010.26        | 66.42705             | NULL
67108864          | 1010.78        | 66.39288             | NULL
67108864          | 1010.14        | 66.43547             | NULL
67108864          | 1010.39        | 66.41891             | NULL
67108864          | 1010.82        | 66.39052             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1011.01        | 66.37791             | NULL
67108864          | 1010.11        | 66.43732             | NULL
67108864          | 1010.34        | 66.42232             | NULL
67108864          | 1010.30        | 66.42495             | NULL
67108864          | 1010.99        | 66.37922             | NULL
67108864          | 1010.80        | 66.39210             | NULL
67108864          | 1010.42        | 66.41680             | NULL
67108864          | 1009.93        | 66.44889             | NULL
67108864          | 1010.76        | 66.39446             | NULL
67108864          | 1010.35        | 66.42127             | NULL
67108864          | 1010.46        | 66.41444             | NULL
67108864          | 1010.73        | 66.39630             | NULL
67108864          | 1010.56        | 66.40760             | NULL
67108864          | 1010.56        | 66.40760             | NULL
67108864          | 1011.01        | 66.37817             | NULL
67108864          | 1010.41        | 66.41733             | NULL
67108864          | 1010.32        | 66.42364             | NULL
67108864          | 1010.21        | 66.43074             | NULL
67108864          | 1011.35        | 66.35586             | NULL
67108864          | 1010.20        | 66.43127             | NULL
67108864          | 1010.11        | 66.43732             | NULL
67108864          | 1010.41        | 66.41733             | NULL
67108864          | 1010.28        | 66.42600             | NULL
67108864          | 1009.92        | 66.44942             | NULL
67108864          | 1010.72        | 66.39683             | NULL
67108864          | 1010.45        | 66.41470             | NULL
67108864          | 1010.89        | 66.38579             | NULL
67108864          | 1010.53        | 66.40944             | NULL
67108864          | 1010.74        | 66.39603             | NULL
67108864          | 1010.44        | 66.41523             | NULL
67108864          | 1010.49        | 66.41233             | NULL
67108864          | 1010.04        | 66.44205             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1010.77        | 66.39393             | NULL
67108864          | 1010.57        | 66.40707             | NULL
67108864          | 1010.15        | 66.43469             | NULL
67108864          | 1011.23        | 66.36373             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1010.65        | 66.40182             | NULL
67108864          | 1010.60        | 66.40523             | NULL
67108864          | 1009.40        | 66.48418             | NULL
67108864          | 1010.43        | 66.41627             | NULL
67108864          | 1010.43        | 66.41602             | NULL
67108864          | 1010.30        | 66.42443             | NULL
67108864          | 1010.22        | 66.43021             | NULL
67108864          | 1010.41        | 66.41733             | NULL
67108864          | 1010.30        | 66.42495             | NULL
67108864          | 1010.10        | 66.43784             | NULL
67108864          | 1010.67        | 66.40024             | NULL
67108864          | 1010.20        | 66.43153             | NULL
67108864          | 1010.83        | 66.38999             | NULL
67108864          | 1010.58        | 66.40602             | NULL
67108864          | 1010.62        | 66.40392             | NULL
67108864          | 1010.26        | 66.42759             | NULL
67108864          | 1010.28        | 66.42626             | NULL
67108864          | 1010.05        | 66.44100             | NULL
67108864          | 1010.44        | 66.41549             | NULL
67108864          | 1010.81        | 66.39104             | NULL
67108864          | 1010.39        | 66.41864             | NULL
67108864          | 1010.58        | 66.40629             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1010.08        | 66.43942             | NULL
67108864          | 1010.69        | 66.39919             | NULL
67108864          | 1010.60        | 66.40523             | NULL
67108864          | 1010.30        | 66.42495             | NULL
67108864          | 1010.56        | 66.40760             | NULL
67108864          | 1010.35        | 66.42127             | NULL
67108864          | 1010.66        | 66.40129             | NULL
67108864          | 1010.42        | 66.41680             | NULL
67108864          | 1010.40        | 66.41785             | NULL
67108864          | 1009.55        | 66.47391             | NULL
67108864          | 1010.51        | 66.41102             | NULL
67108864          | 1010.99        | 66.37922             | NULL
67108864          | 1011.08        | 66.37345             | NULL
67108864          | 1010.32        | 66.42364             | NULL
67108864          | 1010.13        | 66.43600             | NULL
67108864          | 1010.80        | 66.39210             | NULL
67108864          | 1010.06        | 66.44021             | NULL
67108864          | 1010.75        | 66.39498             | NULL
67108864          | 1009.90        | 66.45074             | NULL
67108864          | 1010.50        | 66.41128             | NULL
67108864          | 1010.66        | 66.40077             | NULL
67108864          | 1010.85        | 66.38868             | NULL
67108864          | 1010.94        | 66.38264             | NULL
67108864          | 1014.20        | 66.16926             | NULL
67108864          | 1010.66        | 66.40077             | NULL
67108864          | 1010.11        | 66.43705             | NULL
67108864          | 1010.87        | 66.38711             | NULL
67108864          | 1010.44        | 66.41523             | NULL
67108864          | 1010.40        | 66.41785             | NULL
67108864          | 1010.98        | 66.38027             | NULL
67108864          | 1010.16        | 66.43390             | NULL
67108864          | 1010.43        | 66.41602             | NULL
67108864          | 1011.08        | 66.37318             | NULL
67108864          | 1010.26        | 66.42705             | NULL
67108864          | 1010.29        | 66.42548             | NULL
67108864          | 1010.69        | 66.39893             | NULL
67108864          | 1010.70        | 66.39840             | NULL
67108864          | 1009.72        | 66.46258             | NULL
67108864          | 1010.43        | 66.41627             | NULL
