the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1140.34        | 58.85008             | NULL
67108864          | 1139.74        | 58.88085             | NULL
67108864          | 1140.53        | 58.83996             | NULL
67108864          | 1139.16        | 58.91083             | NULL
67108864          | 1139.81        | 58.87734             | NULL
67108864          | 1138.91        | 58.92366             | NULL
67108864          | 1140.67        | 58.83275             | NULL
67108864          | 1138.96        | 58.92097             | NULL
67108864          | 1140.04        | 58.86515             | NULL
67108864          | 1138.75        | 58.93194             | NULL
67108864          | 1140.67        | 58.83295             | NULL
67108864          | 1139.03        | 58.91766             | NULL
67108864          | 1140.31        | 58.85132             | NULL
67108864          | 1139.37        | 58.90008             | NULL
67108864          | 1140.52        | 58.84079             | NULL
67108864          | 1139.68        | 58.88416             | NULL
67108864          | 1140.87        | 58.82264             | NULL
67108864          | 1139.29        | 58.90401             | NULL
67108864          | 1140.11        | 58.86164             | NULL
67108864          | 1139.39        | 58.89904             | NULL
67108864          | 1140.11        | 58.86164             | NULL
67108864          | 1139.19        | 58.90918             | NULL
67108864          | 1140.56        | 58.83832             | NULL
67108864          | 1139.41        | 58.89780             | NULL
67108864          | 1139.40        | 58.89822             | NULL
67108864          | 1139.37        | 58.89987             | NULL
67108864          | 1140.20        | 58.85731             | NULL
67108864          | 1139.34        | 58.90173             | NULL
67108864          | 1140.37        | 58.84843             | NULL
67108864          | 1139.18        | 58.90980             | NULL
67108864          | 1140.16        | 58.85937             | NULL
67108864          | 1138.83        | 58.92780             | NULL
67108864          | 1140.18        | 58.85813             | NULL
67108864          | 1138.85        | 58.92676             | NULL
67108864          | 1139.96        | 58.86970             | NULL
67108864          | 1139.62        | 58.88705             | NULL
67108864          | 1139.76        | 58.87961             | NULL
67108864          | 1138.91        | 58.92366             | NULL
67108864          | 1139.70        | 58.88271             | NULL
67108864          | 1139.10        | 58.91373             | NULL
67108864          | 1140.08        | 58.86309             | NULL
67108864          | 1138.65        | 58.93711             | NULL
67108864          | 1140.24        | 58.85483             | NULL
67108864          | 1139.45        | 58.89595             | NULL
67108864          | 1140.28        | 58.85297             | NULL
67108864          | 1139.02        | 58.91787             | NULL
67108864          | 1140.44        | 58.84472             | NULL
67108864          | 1139.57        | 58.88974             | NULL
67108864          | 1140.34        | 58.84966             | NULL
67108864          | 1139.11        | 58.91352             | NULL
67108864          | 1139.65        | 58.88561             | NULL
67108864          | 1139.12        | 58.91290             | NULL
67108864          | 1140.51        | 58.84120             | NULL
67108864          | 1138.98        | 58.92014             | NULL
67108864          | 1140.44        | 58.84451             | NULL
67108864          | 1139.18        | 58.90980             | NULL
67108864          | 1140.01        | 58.86701             | NULL
67108864          | 1138.92        | 58.92325             | NULL
67108864          | 1140.39        | 58.84740             | NULL
67108864          | 1139.01        | 58.91869             | NULL
67108864          | 1140.12        | 58.86123             | NULL
67108864          | 1139.25        | 58.90608             | NULL
67108864          | 1139.85        | 58.87507             | NULL
67108864          | 1138.96        | 58.92139             | NULL
67108864          | 1139.98        | 58.86845             | NULL
67108864          | 1139.13        | 58.91228             | NULL
67108864          | 1140.07        | 58.86371             | NULL
67108864          | 1138.71        | 58.93401             | NULL
67108864          | 1139.95        | 58.86991             | NULL
67108864          | 1139.22        | 58.90794             | NULL
67108864          | 1140.79        | 58.82656             | NULL
67108864          | 1138.76        | 58.93173             | NULL
67108864          | 1139.92        | 58.87135             | NULL
67108864          | 1139.80        | 58.87775             | NULL
67108864          | 1140.68        | 58.83213             | NULL
67108864          | 1139.13        | 58.91228             | NULL
67108864          | 1140.60        | 58.83625             | NULL
67108864          | 1139.19        | 58.90939             | NULL
67108864          | 1139.84        | 58.87548             | NULL
67108864          | 1139.52        | 58.89243             | NULL
67108864          | 1139.78        | 58.87899             | NULL
67108864          | 1139.04        | 58.91724             | NULL
67108864          | 1140.28        | 58.85297             | NULL
67108864          | 1138.92        | 58.92345             | NULL
67108864          | 1140.01        | 58.86680             | NULL
67108864          | 1139.46        | 58.89553             | NULL
67108864          | 1140.02        | 58.86639             | NULL
67108864          | 1138.70        | 58.93442             | NULL
67108864          | 1140.03        | 58.86598             | NULL
67108864          | 1138.86        | 58.92656             | NULL
67108864          | 1140.59        | 58.83708             | NULL
67108864          | 1138.78        | 58.93070             | NULL
67108864          | 1139.71        | 58.88251             | NULL
67108864          | 1139.70        | 58.88271             | NULL
67108864          | 1140.00        | 58.86763             | NULL
67108864          | 1138.55        | 58.94250             | NULL
67108864          | 1140.20        | 58.85731             | NULL
67108864          | 1139.02        | 58.91808             | NULL
67108864          | 1139.78        | 58.87858             | NULL
67108864          | 1139.32        | 58.90235             | NULL
67108864          | 1140.27        | 58.85359             | NULL
67108864          | 1139.40        | 58.89863             | NULL
67108864          | 1139.98        | 58.86825             | NULL
67108864          | 1139.64        | 58.88582             | NULL
67108864          | 1140.27        | 58.85338             | NULL
67108864          | 1139.03        | 58.91745             | NULL
67108864          | 1139.64        | 58.88582             | NULL
67108864          | 1138.99        | 58.91973             | NULL
67108864          | 1140.34        | 58.85008             | NULL
67108864          | 1140.08        | 58.86329             | NULL
67108864          | 1139.99        | 58.86783             | NULL
67108864          | 1138.65        | 58.93711             | NULL
67108864          | 1139.74        | 58.88085             | NULL
67108864          | 1138.84        | 58.92759             | NULL
67108864          | 1140.88        | 58.82202             | NULL
67108864          | 1139.12        | 58.91290             | NULL
67108864          | 1139.85        | 58.87527             | NULL
67108864          | 1138.26        | 58.95741             | NULL
67108864          | 1140.19        | 58.85772             | NULL
67108864          | 1138.84        | 58.92718             | NULL
67108864          | 1140.72        | 58.83006             | NULL
67108864          | 1139.03        | 58.91745             | NULL
67108864          | 1140.05        | 58.86474             | NULL
67108864          | 1139.38        | 58.89925             | NULL
67108864          | 1140.02        | 58.86660             | NULL
67108864          | 1139.62        | 58.88705             | NULL
67108864          | 1139.99        | 58.86783             | NULL
67108864          | 1139.12        | 58.91311             | NULL
67108864          | 1139.35        | 58.90111             | NULL
67108864          | 1138.73        | 58.93298             | NULL
67108864          | 1140.02        | 58.86639             | NULL
67108864          | 1139.34        | 58.90152             | NULL
67108864          | 1140.16        | 58.85937             | NULL
67108864          | 1139.05        | 58.91642             | NULL
67108864          | 1139.94        | 58.87032             | NULL
67108864          | 1139.16        | 58.91063             | NULL
67108864          | 1140.28        | 58.85276             | NULL
67108864          | 1139.35        | 58.90111             | NULL
67108864          | 1140.10        | 58.86205             | NULL
67108864          | 1139.38        | 58.89946             | NULL
67108864          | 1140.40        | 58.84678             | NULL
67108864          | 1138.36        | 58.95244             | NULL
67108864          | 1140.37        | 58.84822             | NULL
67108864          | 1139.24        | 58.90670             | NULL
67108864          | 1139.55        | 58.89056             | NULL
67108864          | 1138.77        | 58.93091             | NULL
67108864          | 1140.41        | 58.84616             | NULL
67108864          | 1138.97        | 58.92076             | NULL
67108864          | 1140.00        | 58.86763             | NULL
67108864          | 1139.14        | 58.91166             | NULL
67108864          | 1139.98        | 58.86845             | NULL
67108864          | 1139.12        | 58.91269             | NULL
67108864          | 1140.59        | 58.83708             | NULL
67108864          | 1139.35        | 58.90090             | NULL
67108864          | 1139.91        | 58.87218             | NULL
67108864          | 1139.29        | 58.90421             | NULL
67108864          | 1140.76        | 58.82841             | NULL
67108864          | 1138.72        | 58.93339             | NULL
67108864          | 1139.92        | 58.87176             | NULL
67108864          | 1139.51        | 58.89263             | NULL
67108864          | 1140.28        | 58.85276             | NULL
67108864          | 1138.64        | 58.93753             | NULL
67108864          | 1140.57        | 58.83811             | NULL
67108864          | 1139.60        | 58.88809             | NULL
67108864          | 1140.02        | 58.86660             | NULL
