the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 606.70         | 110.61293            | NULL
67108864          | 605.80         | 110.77726            | NULL
67108864          | 606.31         | 110.68444            | NULL
67108864          | 605.71         | 110.79336            | NULL
67108864          | 605.18         | 110.89075            | NULL
67108864          | 606.14         | 110.71512            | NULL
67108864          | 607.14         | 110.53203            | NULL
67108864          | 606.35         | 110.67641            | NULL
67108864          | 605.57         | 110.81971            | NULL
67108864          | 606.59         | 110.63335            | NULL
67108864          | 605.31         | 110.86730            | NULL
67108864          | 606.52         | 110.64503            | NULL
67108864          | 604.99         | 110.92594            | NULL
67108864          | 606.62         | 110.62824            | NULL
67108864          | 605.71         | 110.79409            | NULL
67108864          | 607.17         | 110.52694            | NULL
67108864          | 606.00         | 110.74070            | NULL
67108864          | 605.62         | 110.81018            | NULL
67108864          | 605.64         | 110.80653            | NULL
67108864          | 606.33         | 110.68079            | NULL
67108864          | 605.28         | 110.87169            | NULL
67108864          | 605.72         | 110.79189            | NULL
67108864          | 606.50         | 110.64867            | NULL
67108864          | 605.80         | 110.77653            | NULL
67108864          | 606.02         | 110.73632            | NULL
67108864          | 607.23         | 110.51675            | NULL
67108864          | 606.44         | 110.65962            | NULL
67108864          | 606.41         | 110.66547            | NULL
67108864          | 605.67         | 110.80140            | NULL
67108864          | 605.14         | 110.89807            | NULL
67108864          | 605.72         | 110.79115            | NULL
67108864          | 606.57         | 110.63627            | NULL
67108864          | 606.03         | 110.73486            | NULL
67108864          | 606.21         | 110.70270            | NULL
67108864          | 605.53         | 110.82629            | NULL
67108864          | 605.74         | 110.78896            | NULL
67108864          | 605.33         | 110.86364            | NULL
67108864          | 605.28         | 110.87169            | NULL
67108864          | 605.68         | 110.79921            | NULL
67108864          | 605.77         | 110.78238            | NULL
67108864          | 606.42         | 110.66474            | NULL
67108864          | 605.58         | 110.81824            | NULL
67108864          | 605.66         | 110.80360            | NULL
67108864          | 606.38         | 110.67204            | NULL
67108864          | 605.27         | 110.87462            | NULL
67108864          | 605.50         | 110.83141            | NULL
67108864          | 605.87         | 110.76482            | NULL
67108864          | 605.82         | 110.77361            | NULL
67108864          | 606.01         | 110.73850            | NULL
67108864          | 605.40         | 110.85045            | NULL
67108864          | 605.85         | 110.76775            | NULL
67108864          | 606.10         | 110.72170            | NULL
67108864          | 605.36         | 110.85852            | NULL
67108864          | 606.33         | 110.68006            | NULL
67108864          | 605.36         | 110.85778            | NULL
67108864          | 606.53         | 110.64357            | NULL
67108864          | 605.89         | 110.76117            | NULL
67108864          | 605.78         | 110.78165            | NULL
67108864          | 605.28         | 110.87316            | NULL
67108864          | 606.82         | 110.59032            | NULL
67108864          | 605.92         | 110.75605            | NULL
67108864          | 606.41         | 110.66547            | NULL
67108864          | 605.47         | 110.83801            | NULL
67108864          | 606.07         | 110.72828            | NULL
67108864          | 605.91         | 110.75751            | NULL
67108864          | 605.92         | 110.75533            | NULL
67108864          | 605.88         | 110.76190            | NULL
67108864          | 604.92         | 110.93914            | NULL
67108864          | 605.75         | 110.78677            | NULL
67108864          | 605.55         | 110.82263            | NULL
67108864          | 605.63         | 110.80872            | NULL
67108864          | 605.97         | 110.74654            | NULL
67108864          | 605.71         | 110.79336            | NULL
67108864          | 605.95         | 110.75020            | NULL
67108864          | 605.77         | 110.78238            | NULL
67108864          | 606.16         | 110.71220            | NULL
67108864          | 606.45         | 110.65889            | NULL
67108864          | 605.70         | 110.79628            | NULL
67108864          | 605.28         | 110.87242            | NULL
67108864          | 605.85         | 110.76848            | NULL
67108864          | 605.71         | 110.79336            | NULL
67108864          | 606.30         | 110.68590            | NULL
67108864          | 605.92         | 110.75605            | NULL
67108864          | 607.15         | 110.53131            | NULL
67108864          | 605.28         | 110.87316            | NULL
67108864          | 606.39         | 110.66911            | NULL
67108864          | 606.02         | 110.73704            | NULL
67108864          | 605.68         | 110.79921            | NULL
67108864          | 605.96         | 110.74874            | NULL
67108864          | 606.55         | 110.64064            | NULL
67108864          | 605.74         | 110.78750            | NULL
67108864          | 607.74         | 110.42292            | NULL
67108864          | 605.30         | 110.86877            | NULL
67108864          | 606.11         | 110.72023            | NULL
67108864          | 605.66         | 110.80360            | NULL
67108864          | 606.05         | 110.73193            | NULL
67108864          | 605.56         | 110.82043            | NULL
67108864          | 606.24         | 110.69759            | NULL
67108864          | 605.67         | 110.80068            | NULL
67108864          | 605.96         | 110.74728            | NULL
67108864          | 605.92         | 110.75459            | NULL
67108864          | 606.64         | 110.62387            | NULL
67108864          | 605.49         | 110.83360            | NULL
67108864          | 606.31         | 110.68371            | NULL
67108864          | 606.19         | 110.70636            | NULL
67108864          | 606.15         | 110.71366            | NULL
67108864          | 606.04         | 110.73412            | NULL
67108864          | 605.95         | 110.75020            | NULL
67108864          | 605.84         | 110.77068            | NULL
67108864          | 605.82         | 110.77361            | NULL
67108864          | 605.87         | 110.76409            | NULL
67108864          | 606.12         | 110.71877            | NULL
67108864          | 605.18         | 110.89148            | NULL
67108864          | 606.59         | 110.63262            | NULL
67108864          | 605.38         | 110.85338            | NULL
67108864          | 606.03         | 110.73559            | NULL
67108864          | 606.13         | 110.71659            | NULL
67108864          | 605.93         | 110.75386            | NULL
67108864          | 605.78         | 110.78092            | NULL
67108864          | 605.69         | 110.79701            | NULL
67108864          | 605.32         | 110.86511            | NULL
67108864          | 606.40         | 110.66692            | NULL
67108864          | 605.38         | 110.85484            | NULL
67108864          | 605.93         | 110.75386            | NULL
67108864          | 605.10         | 110.90468            | NULL
67108864          | 605.61         | 110.81238            | NULL
67108864          | 606.21         | 110.70197            | NULL
67108864          | 605.52         | 110.82848            | NULL
67108864          | 605.20         | 110.88782            | NULL
67108864          | 606.59         | 110.63335            | NULL
67108864          | 606.23         | 110.69905            | NULL
67108864          | 605.81         | 110.77580            | NULL
67108864          | 605.26         | 110.87536            | NULL
67108864          | 605.96         | 110.74728            | NULL
67108864          | 606.05         | 110.73193            | NULL
67108864          | 605.77         | 110.78311            | NULL
67108864          | 604.93         | 110.93694            | NULL
67108864          | 606.41         | 110.66619            | NULL
67108864          | 605.34         | 110.86217            | NULL
67108864          | 606.02         | 110.73704            | NULL
67108864          | 605.01         | 110.92154            | NULL
67108864          | 606.88         | 110.58085            | NULL
67108864          | 605.81         | 110.77507            | NULL
67108864          | 605.84         | 110.76994            | NULL
67108864          | 606.46         | 110.65597            | NULL
67108864          | 606.46         | 110.65597            | NULL
67108864          | 605.06         | 110.91201            | NULL
67108864          | 605.91         | 110.75751            | NULL
67108864          | 605.68         | 110.79994            | NULL
67108864          | 606.34         | 110.67933            | NULL
67108864          | 605.63         | 110.80872            | NULL
67108864          | 606.50         | 110.64940            | NULL
67108864          | 605.65         | 110.80433            | NULL
67108864          | 606.02         | 110.73632            | NULL
67108864          | 605.59         | 110.81531            | NULL
67108864          | 605.49         | 110.83360            | NULL
67108864          | 605.84         | 110.76994            | NULL
67108864          | 606.76         | 110.60200            | NULL
67108864          | 605.31         | 110.86657            | NULL
67108864          | 605.94         | 110.75094            | NULL
67108864          | 606.10         | 110.72170            | NULL
67108864          | 605.83         | 110.77214            | NULL
67108864          | 605.84         | 110.77068            | NULL
67108864          | 606.46         | 110.65743            | NULL
67108864          | 606.31         | 110.68444            | NULL
67108864          | 606.14         | 110.71512            | NULL
67108864          | 605.19         | 110.88929            | NULL
67108864          | 606.15         | 110.71366            | NULL
67108864          | 605.46         | 110.83947            | NULL
67108864          | 605.15         | 110.89661            | NULL
67108864          | 606.24         | 110.69759            | NULL
67108864          | 606.29         | 110.68810            | NULL
67108864          | 605.76         | 110.78457            | NULL
67108864          | 605.80         | 110.77653            | NULL
67108864          | 605.26         | 110.87536            | NULL
67108864          | 605.85         | 110.76848            | NULL
67108864          | 605.50         | 110.83215            | NULL
67108864          | 605.23         | 110.88123            | NULL
67108864          | 606.33         | 110.68079            | NULL
67108864          | 606.78         | 110.59908            | NULL
67108864          | 605.24         | 110.87976            | NULL
67108864          | 605.58         | 110.81824            | NULL
67108864          | 605.66         | 110.80213            | NULL
67108864          | 605.88         | 110.76336            | NULL
67108864          | 605.89         | 110.76117            | NULL
67108864          | 605.29         | 110.87097            | NULL
67108864          | 606.80         | 110.59470            | NULL
67108864          | 605.89         | 110.76044            | NULL
67108864          | 605.86         | 110.76702            | NULL
67108864          | 606.44         | 110.66108            | NULL
67108864          | 605.50         | 110.83288            | NULL
67108864          | 605.31         | 110.86730            | NULL
67108864          | 605.84         | 110.77068            | NULL
67108864          | 606.03         | 110.73559            | NULL
67108864          | 605.16         | 110.89515            | NULL
67108864          | 605.27         | 110.87462            | NULL
67108864          | 605.07         | 110.91127            | NULL
67108864          | 606.84         | 110.58814            | NULL
67108864          | 605.75         | 110.78604            | NULL
67108864          | 606.12         | 110.71877            | NULL
67108864          | 605.64         | 110.80579            | NULL
67108864          | 605.94         | 110.75167            | NULL
67108864          | 605.96         | 110.74728            | NULL
67108864          | 606.30         | 110.68664            | NULL
67108864          | 605.56         | 110.82116            | NULL
67108864          | 606.33         | 110.68079            | NULL
67108864          | 604.70         | 110.97804            | NULL
67108864          | 606.22         | 110.70124            | NULL
67108864          | 605.74         | 110.78896            | NULL
67108864          | 606.41         | 110.66619            | NULL
67108864          | 606.16         | 110.71220            | NULL
67108864          | 605.74         | 110.78750            | NULL
67108864          | 606.01         | 110.73850            | NULL
67108864          | 606.37         | 110.67276            | NULL
67108864          | 605.22         | 110.88416            | NULL
67108864          | 606.22         | 110.70124            | NULL
67108864          | 605.49         | 110.83434            | NULL
67108864          | 605.75         | 110.78604            | NULL
67108864          | 605.28         | 110.87316            | NULL
67108864          | 606.04         | 110.73412            | NULL
67108864          | 606.61         | 110.62897            | NULL
67108864          | 606.23         | 110.69905            | NULL
67108864          | 605.59         | 110.81604            | NULL
67108864          | 606.80         | 110.59397            | NULL
67108864          | 605.88         | 110.76263            | NULL
67108864          | 605.18         | 110.89002            | NULL
67108864          | 605.47         | 110.83801            | NULL
67108864          | 605.58         | 110.81824            | NULL
67108864          | 605.65         | 110.80506            | NULL
67108864          | 606.02         | 110.73632            | NULL
67108864          | 606.26         | 110.69321            | NULL
67108864          | 606.13         | 110.71659            | NULL
67108864          | 605.48         | 110.83654            | NULL
67108864          | 605.64         | 110.80579            | NULL
67108864          | 606.01         | 110.73850            | NULL
67108864          | 606.04         | 110.73412            | NULL
67108864          | 605.73         | 110.78969            | NULL
67108864          | 605.68         | 110.79921            | NULL
67108864          | 606.41         | 110.66619            | NULL
67108864          | 605.94         | 110.75094            | NULL
67108864          | 605.32         | 110.86583            | NULL
67108864          | 606.36         | 110.67495            | NULL
67108864          | 605.98         | 110.74435            | NULL
67108864          | 606.09         | 110.72389            | NULL
67108864          | 606.20         | 110.70416            | NULL
67108864          | 606.75         | 110.60345            | NULL
67108864          | 605.85         | 110.76775            | NULL
67108864          | 605.36         | 110.85778            | NULL
67108864          | 605.53         | 110.82702            | NULL
67108864          | 605.97         | 110.74581            | NULL
67108864          | 605.38         | 110.85484            | NULL
67108864          | 606.52         | 110.64649            | NULL
67108864          | 605.26         | 110.87536            | NULL
67108864          | 605.24         | 110.88049            | NULL
67108864          | 606.01         | 110.73924            | NULL
67108864          | 606.06         | 110.73047            | NULL
67108864          | 605.44         | 110.84386            | NULL
67108864          | 606.88         | 110.58012            | NULL
67108864          | 605.78         | 110.78165            | NULL
67108864          | 605.99         | 110.74289            | NULL
67108864          | 606.38         | 110.67131            | NULL
67108864          | 606.20         | 110.70343            | NULL
67108864          | 605.70         | 110.79555            | NULL
67108864          | 606.16         | 110.71220            | NULL
67108864          | 605.82         | 110.77288            | NULL
67108864          | 606.66         | 110.62096            | NULL
67108864          | 604.94         | 110.93401            | NULL
67108864          | 606.86         | 110.58303            | NULL
67108864          | 605.60         | 110.81458            | NULL
67108864          | 605.20         | 110.88635            | NULL
67108864          | 605.35         | 110.85924            | NULL
67108864          | 605.68         | 110.79994            | NULL
67108864          | 605.74         | 110.78896            | NULL
67108864          | 605.94         | 110.75094            | NULL
67108864          | 606.21         | 110.70197            | NULL
67108864          | 605.82         | 110.77288            | NULL
67108864          | 605.94         | 110.75167            | NULL
67108864          | 606.50         | 110.65014            | NULL
67108864          | 606.09         | 110.72461            | NULL
67108864          | 608.79         | 110.23282            | NULL
67108864          | 605.09         | 110.90688            | NULL
67108864          | 605.60         | 110.81458            | NULL
67108864          | 606.11         | 110.72097            | NULL
67108864          | 605.37         | 110.85558            | NULL
67108864          | 605.52         | 110.82775            | NULL
67108864          | 605.37         | 110.85558            | NULL
67108864          | 605.62         | 110.81018            | NULL
67108864          | 606.03         | 110.73486            | NULL
67108864          | 605.70         | 110.79555            | NULL
67108864          | 606.55         | 110.64064            | NULL
67108864          | 606.18         | 110.70709            | NULL
67108864          | 606.08         | 110.72681            | NULL
67108864          | 604.70         | 110.97877            | NULL
67108864          | 606.55         | 110.63992            | NULL
67108864          | 605.74         | 110.78896            | NULL
67108864          | 607.08         | 110.54369            | NULL
67108864          | 605.70         | 110.79482            | NULL
67108864          | 606.04         | 110.73266            | NULL
67108864          | 604.74         | 110.97143            | NULL
67108864          | 606.18         | 110.70782            | NULL
67108864          | 606.18         | 110.70709            | NULL
67108864          | 606.24         | 110.69759            | NULL
67108864          | 605.61         | 110.81238            | NULL
67108864          | 605.86         | 110.76629            | NULL
67108864          | 605.22         | 110.88416            | NULL
