lo               UNKNOWN        00:00:00:00:00:00 <LOOPBACK,UP,LOWER_UP> 
enp61s0f0        DOWN           b0:4f:a6:a5:5b:02 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp61s0f1        DOWN           b0:4f:a6:a5:5b:03 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp67s0f0np0     UP             20:fa:db:b2:ca:d2 <BROADCAST,MULTICAST,SLAVE,UP,LOWER_UP> 
enp61s0f2        DOWN           b0:4f:a6:a5:5b:04 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp67s0f1np1     UP             20:fa:db:b2:ca:d2 <BROADCAST,MULTICAST,SLAVE,UP,LOWER_UP> 
enp61s0f3        DOWN           b0:4f:a6:a5:5b:05 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp189s0f0       UP             b0:4f:a6:a5:5a:fe <BROADCAST,MULTICAST,UP,LOWER_UP> 
enp195s0f0np0    UP             20:fa:db:b2:9b:f2 <BROADCAST,MULTICAST,UP,LOWER_UP> 
enp189s0f1       DOWN           b0:4f:a6:a5:5a:ff <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp189s0f2       DOWN           b0:4f:a6:a5:5b:00 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp189s0f3       DOWN           b0:4f:a6:a5:5b:01 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
enp195s0f1np1    UP             20:fa:db:b2:9b:f3 <BROADCAST,MULTICAST,UP,LOWER_UP> 
vlan0.12@enp195s0f0np0 UP             20:fa:db:b2:9b:f2 <BROADCAST,MULTICAST,UP,LOWER_UP> 
vlan1.12@enp195s0f1np1 UP             20:fa:db:b2:9b:f3 <BROADCAST,MULTICAST,UP,LOWER_UP> 
fsb_bond         UP             20:fa:db:b2:ca:d2 <BROADCAST,MULTICAST,MASTER,UP,LOWER_UP> 
v.100@fsb_bond   UP             20:fa:db:b2:ca:d2 <BROADCAST,MULTICAST,UP,LOWER_UP> 
virbr0           DOWN           52:54:00:4f:82:9b <NO-CARRIER,BROADCAST,MULTICAST,UP> 
virbr0-nic       DOWN           52:54:00:4f:82:9b <BROADCAST,MULTICAST> 
docker0          DOWN           02:42:fc:1e:5b:ae <NO-CARRIER,BROADCAST,MULTICAST,UP> 
